Theme,English,English meaning,Francais
Verbes de registre soutenu,truncate,cut short by removing an end,tronquer
Verbes de registre soutenu,tyrannize,rule or treat with cruel oppression,tyranniser
Verbes de registre soutenu,undermine,weaken gradually and secretly,"saper, miner"
Verbes de registre soutenu,underpin,provide support or foundation for,"étayer, sous-tendre"
Verbes de registre soutenu,underscore,emphasize the importance of something,souligner
Verbes de registre soutenu,understate,describe as less significant than reality,"minimiser, atténuer"
Verbes de registre soutenu,undertake,commit to performing a task,"entreprendre, se charger de"
Verbes de registre soutenu,undulate,move in a smooth wavelike motion,onduler
Verbes de registre soutenu,unearth,discover by digging or investigation,"déterrer, mettre au jour"
Verbes de registre soutenu,unhinge,"unbalance mentally, throw into disorder","déstabiliser, faire perdre la raison à"
Verbes de registre soutenu,unify,bring separate parts into one whole,unifier
Verbes de registre soutenu,unleash,release forces suddenly and powerfully,"déchaîner, libérer"
Verbes de registre soutenu,unnerve,deprive of confidence or courage,"troubler, déstabiliser"
Verbes de registre soutenu,unravel,"come apart, or solve step by step","démêler, élucider, s'effilocher"
Verbes de registre soutenu,unsettle,disturb the calm or stability of,"perturber, troubler"
Verbes de registre soutenu,unveil,reveal publicly for the first time,dévoiler
Verbes de registre soutenu,upbraid,scold someone severely,"réprimander, houspiller"
Verbes de registre soutenu,upend,"turn upside down, disrupt completely","renverser, bouleverser"
Verbes de registre soutenu,uproot,remove from an established place entirely,déraciner
Verbes de registre soutenu,usher in,mark the beginning of something new,"inaugurer, marquer le début de"
Verbes de registre soutenu,usurp,seize power or position wrongfully,usurper
Verbes de registre soutenu,utter,"speak aloud, or express in words","proférer, prononcer"
Verbes de registre soutenu,vacate,leave a place or office empty,"quitter, libérer"
Verbes de registre soutenu,vacillate,waver indecisively between options,"vaciller, hésiter"
Verbes de registre soutenu,vanquish,defeat thoroughly in conflict,vaincre
Verbes de registre soutenu,vaunt,boast about proudly,vanter
Verbes de registre soutenu,veer,change direction suddenly,"virer, dévier"
Verbes de registre soutenu,venerate,regard with deep respect,vénérer
Verbes de registre soutenu,vent,express strong emotion openly,"exprimer, donner libre cours à"
Verbes de registre soutenu,vex,annoy or trouble persistently,"contrarier, vexer"
Verbes de registre soutenu,vie,compete eagerly for something,rivaliser
Verbes de registre soutenu,vilify,speak abusively to damage reputation,"vilipender, diffamer"
Verbes de registre soutenu,vindicate,"clear of blame, prove right","donner raison à, disculper"
Verbes de registre soutenu,violate,"break a law, rule, or agreement","violer, enfreindre"
Verbes de registre soutenu,vitiate,spoil effectiveness or legal validity,vicier
Verbes de registre soutenu,vouch for,guarantee the reliability of someone,"se porter garant de, répondre de"
Verbes de registre soutenu,vouchsafe,grant or reveal condescendingly,"accorder, daigner donner"
Verbes de registre soutenu,vow,promise solemnly to do something,"jurer, faire le vœu de"
Verbes de registre soutenu,waft,drift gently through air,"flotter, se répandre"
Verbes de registre soutenu,wager,bet money on an outcome,parier
Verbes de registre soutenu,waive,voluntarily give up a right,"renoncer à, déroger à"
Verbes de registre soutenu,wallow,indulge excessively in emotion or luxury,"se vautrer, se complaire"
Verbes de registre soutenu,wane,decrease gradually in strength,"décliner, décroître"
Verbes de registre soutenu,ward off,keep danger away from oneself,"conjurer, repousser"
Verbes de registre soutenu,warp,"bend out of shape, distort","déformer, fausser"
Verbes de registre soutenu,waver,hesitate or become unsteady,"vaciller, hésiter"
Verbes de registre soutenu,wean,gradually withdraw dependence on something,sevrer
Verbes de registre soutenu,weather,survive difficulties without serious damage,"surmonter, résister à"
Verbes de registre soutenu,wheedle,coax by flattery,"cajoler, enjôler"
Verbes de registre soutenu,whet,sharpen appetite or interest,"aiguiser, stimuler"
Verbes de registre soutenu,whittle down,reduce gradually by small amounts,"réduire peu à peu, rogner"
Verbes de registre soutenu,wield,exercise power or handle skilfully,"manier, exercer"
Verbes de registre soutenu,wilt,droop from heat or fatigue,"se faner, flétrir"
Verbes de registre soutenu,wince,flinch briefly from pain,"grimacer, tressaillir"
Verbes de registre soutenu,winnow,sift to select the best,"vanner, trier"
Verbes de registre soutenu,wither,dry up and shrivel away,"se flétrir, dépérir"
Verbes de registre soutenu,withhold,refuse to give or release,"retenir, refuser de donner"
Verbes de registre soutenu,withstand,resist pressure without giving way,"résister à, supporter"
Verbes de registre soutenu,wrangle,argue noisily over something,"se disputer, se quereller"
Verbes de registre soutenu,wreak,cause great damage or harm,"infliger, semer"
Verbes de registre soutenu,wrest,take forcibly after a struggle,"arracher, soutirer"
Verbes de registre soutenu,wring,twist tightly to squeeze out,"tordre, extorquer"
Verbes de registre soutenu,writhe,twist the body in pain,"se tordre, se contorsionner"
Verbes de registre soutenu,yearn for,long intensely to have,"aspirer à, languir de"
Verbes de registre soutenu,yoke,join together under a common burden,"atteler, accoupler"
Adjectifs de registre soutenu,abhorrent,utterly repugnant and morally detestable,"odieux, exécrable"
Adjectifs de registre soutenu,abject,utterly hopeless and degrading,"abject, misérable"
Adjectifs de registre soutenu,abortive,failing to achieve the intended result,"avorté, infructueux"
Adjectifs de registre soutenu,abrasive,"harsh in manner, irritating others","abrasif, caustique"
Adjectifs de registre soutenu,abrupt,sudden and unexpectedly curt,"abrupt, brusque"
Adjectifs de registre soutenu,absorbing,holding attention completely,"captivant, prenant"
Adjectifs de registre soutenu,abstemious,sparing in food and drink,"sobre, frugal"
Adjectifs de registre soutenu,abstruse,"difficult to understand, obscure","abscons, obscur"
Adjectifs de registre soutenu,absurd,wildly unreasonable or ridiculous,absurde
Adjectifs de registre soutenu,abundant,existing in large quantities,abondant
Adjectifs de registre soutenu,abysmal,"extremely bad, dreadfully poor","épouvantable, lamentable"
Adjectifs de registre soutenu,acclaimed,widely praised by critics,"acclamé, encensé"
Adjectifs de registre soutenu,accomplished,highly skilled through experience,"accompli, chevronné"
Adjectifs de registre soutenu,acerbic,sharp and biting in tone,"acerbe, mordant"
Adjectifs de registre soutenu,acquiescent,readily accepting without protest,"consentant, docile"
Adjectifs de registre soutenu,acrid,bitterly sharp in smell or taste,âcre
Adjectifs de registre soutenu,acrimonious,angry and bitter in dispute,acrimonieux
Adjectifs de registre soutenu,acute,"severe, or keenly perceptive","aigu, perspicace"
Adjectifs de registre soutenu,adamant,refusing absolutely to change mind,"inflexible, catégorique"
Adjectifs de registre soutenu,adept,highly proficient at something,"habile, expert"
Adjectifs de registre soutenu,adjacent,"next to, immediately neighbouring","adjacent, contigu"
Adjectifs de registre soutenu,admirable,deserving respect and approval,admirable
Adjectifs de registre soutenu,adroit,clever and skilful in handling situations,"adroit, habile"
Adjectifs de registre soutenu,adverse,harmful or unfavourable to interests,"défavorable, hostile"
Adjectifs de registre soutenu,aesthetic,relating to beauty and appearance,esthétique
Adjectifs de registre soutenu,affable,friendly and easy to talk to,"affable, avenant"
Adjectifs de registre soutenu,affluent,"wealthy, having plenty of money","riche, opulent"
Adjectifs de registre soutenu,aggrieved,feeling wronged or unfairly treated,"lésé, offensé"
Adjectifs de registre soutenu,agile,able to move or adapt quickly,agile
Adjectifs de registre soutenu,agonizing,causing intense prolonged distress,"atroce, déchirant"
Adjectifs de registre soutenu,ailing,in poor health or declining condition,"souffrant, mal en point"
Adjectifs de registre soutenu,aimless,lacking purpose or direction,"sans but, erratique"
Adjectifs de registre soutenu,alarming,causing worry or fear,"alarmant, inquiétant"
Adjectifs de registre soutenu,alert,watchful and quick to notice,"vigilant, alerte"
Adjectifs de registre soutenu,alien,"foreign, strange, or unfamiliar","étranger, insolite"
Adjectifs de registre soutenu,alleged,claimed but not yet proven,"présumé, prétendu"
Adjectifs de registre soutenu,alluring,powerfully attractive and tempting,"séduisant, attrayant"
Adjectifs de registre soutenu,aloof,distant and emotionally uninvolved,"distant, réservé"
Adjectifs de registre soutenu,altruistic,selflessly concerned for others' welfare,altruiste
Adjectifs de registre soutenu,ambiguous,open to more than one interpretation,"ambigu, équivoque"
Adjectifs de registre soutenu,ambivalent,having mixed contradictory feelings,"ambivalent, partagé"
Adjectifs de registre soutenu,amenable,willing to cooperate or be persuaded,"conciliant, disposé"
Adjectifs de registre soutenu,amiable,pleasant and good-natured,"aimable, affable"
Adjectifs de registre soutenu,amicable,"friendly, without hostility","amical, à l'amiable"
Adjectifs de registre soutenu,amorphous,lacking definite shape or structure,"amorphe, informe"
Adjectifs de registre soutenu,ample,more than enough,"ample, abondant"
Adjectifs de registre soutenu,ancestral,inherited from earlier generations,ancestral
Adjectifs de registre soutenu,ancillary,providing secondary support,"auxiliaire, subalterne"
Adjectifs de registre soutenu,anguished,suffering severe mental pain,"angoissé, tourmenté"
Adjectifs de registre soutenu,animated,lively and full of energy,"animé, vif"
Adjectifs de registre soutenu,anomalous,deviating from what is normal,"anormal, atypique"
Adjectifs de registre soutenu,anonymous,of unknown or undisclosed identity,anonyme
Adjectifs de registre soutenu,antagonistic,actively hostile and opposed,"antagoniste, hostile"
Adjectifs de registre soutenu,antiquated,outdated and no longer useful,"désuet, vétuste"
Adjectifs de registre soutenu,apathetic,showing no interest or concern,"apathique, indifférent"
Adjectifs de registre soutenu,apocryphal,widely circulated but probably untrue,apocryphe
Adjectifs de registre soutenu,appalling,shockingly bad or horrifying,"épouvantable, consternant"
Adjectifs de registre soutenu,apparent,"clearly visible, or seeming so","apparent, manifeste"
Adjectifs de registre soutenu,appealing,attractive and inviting interest,"attrayant, séduisant"
Adjectifs de registre soutenu,apprehensive,anxious about something ahead,"inquiet, craintif"
Adjectifs de registre soutenu,apt,"suitable, or likely to do something","pertinent, enclin"
Adjectifs de registre soutenu,arbitrary,based on whim rather than reason,arbitraire
Adjectifs de registre soutenu,arcane,understood by very few people,"ésotérique, obscur"
Adjectifs de registre soutenu,archaic,belonging to a much earlier period,archaïque
Adjectifs de registre soutenu,ardent,passionately enthusiastic and devoted,"ardent, fervent"
Adjectifs de registre soutenu,arduous,"requiring great effort, strenuous","ardu, pénible"
Adjectifs de registre soutenu,arid,"extremely dry, or dull and lifeless",aride
Adjectifs de registre soutenu,arrogant,unpleasantly proud and self-important,arrogant
Adjectifs de registre soutenu,artless,natural and without deceit,"ingénu, naturel"
Adjectifs de registre soutenu,ascetic,practising severe self-denial,ascétique
Adjectifs de registre soutenu,assiduous,showing persistent careful effort,"assidu, appliqué"
Adjectifs de registre soutenu,astounding,"amazing, hard to believe","stupéfiant, ahurissant"
Adjectifs de registre soutenu,astute,shrewd in judging situations,"astucieux, perspicace"
Adjectifs de registre soutenu,atrocious,appallingly cruel or of dreadful quality,atroce
Adjectifs de registre soutenu,audacious,"boldly daring, risking disapproval",audacieux
Adjectifs de registre soutenu,august,inspiring reverence and dignity,"auguste, majestueux"
Adjectifs de registre soutenu,auspicious,promising future success,"propice, de bon augure"
Adjectifs de registre soutenu,austere,"severely plain, without comfort",austère
Adjectifs de registre soutenu,authentic,"genuine, not counterfeit",authentique
Adjectifs de registre soutenu,authoritative,commanding respect through expertise,"qui fait autorité, autoritaire"
Adjectifs de registre soutenu,autonomous,self-governing and independent,autonome
Adjectifs de registre soutenu,avaricious,extremely greedy for wealth,"avare, cupide"
Adjectifs de registre soutenu,avid,keenly enthusiastic about something,"avide, passionné"
Adjectifs de registre soutenu,avowed,openly declared and admitted,"déclaré, avoué"
Adjectifs de registre soutenu,awkward,"clumsy, or causing embarrassment","maladroit, gênant"
Adjectifs de registre soutenu,axiomatic,self-evidently true without proof,"axiomatique, évident"
Adjectifs de registre soutenu,baffling,"impossible to understand, puzzling","déconcertant, déroutant"
Adjectifs de registre soutenu,baleful,"threatening harm, menacing","menaçant, funeste"
Adjectifs de registre soutenu,banal,"dull through overuse, unoriginal",banal
Adjectifs de registre soutenu,barbaric,savagely cruel and uncivilized,barbare
Adjectifs de registre soutenu,barren,"unproductive, yielding nothing","stérile, aride"
Adjectifs de registre soutenu,bashful,shy and easily embarrassed,"timide, pudique"
Adjectifs de registre soutenu,beguiling,charming in a possibly deceptive way,"séduisant, envoûtant"
Adjectifs de registre soutenu,belated,coming later than it should,tardif
Adjectifs de registre soutenu,believable,plausible enough to be accepted,"crédible, vraisemblable"
Adjectifs de registre soutenu,belligerent,"aggressively hostile, ready to fight","belliqueux, agressif"
Adjectifs de registre soutenu,bemused,puzzled and mildly confused,"perplexe, déconcerté"
Adjectifs de registre soutenu,beneficial,producing helpful advantage,bénéfique
Adjectifs de registre soutenu,benevolent,kind and wishing to do good,bienveillant
Adjectifs de registre soutenu,benign,gentle and harmless,"bénin, bienveillant"
Adjectifs de registre soutenu,bereft,deprived of something valued,"privé de, dépourvu"
Adjectifs de registre soutenu,bewildering,deeply confusing and disorienting,"déconcertant, ahurissant"
Adjectifs de registre soutenu,biased,unfairly favouring one side,"partial, tendancieux"
Adjectifs de registre soutenu,bitter,"resentful, or sharply unpleasant","amer, acerbe"
Adjectifs de registre soutenu,bizarre,very strange and unexpected,bizarre
Adjectifs de registre soutenu,bland,"dull, lacking distinctive character","fade, insipide"
Adjectifs de registre soutenu,blatant,done openly without shame,"flagrant, éhonté"
Adjectifs de registre soutenu,bleak,gloomy with little hope,"morne, sombre"
Adjectifs de registre soutenu,blissful,perfectly happy and contented,"bienheureux, béat"
Adjectifs de registre soutenu,blithe,"cheerfully casual, unconcerned","insouciant, allègre"
Adjectifs de registre soutenu,blunt,direct to the point of rudeness,"direct, brusque"
Adjectifs de registre soutenu,blurred,indistinct and unclear in outline,"flou, brouillé"
Adjectifs de registre soutenu,boisterous,"noisy, energetic and rowdy","turbulent, bruyant"
Adjectifs de registre soutenu,bold,confident and willing to take risks,"audacieux, hardi"
Adjectifs de registre soutenu,bombastic,using inflated pompous language,"grandiloquent, pompeux"
Adjectifs de registre soutenu,boundless,without any limit,"illimité, sans bornes"
Adjectifs de registre soutenu,bountiful,existing in generous plentiful supply,"généreux, abondant"
Adjectifs de registre soutenu,brash,self-assertive in a tactless way,"effronté, impétueux"
Adjectifs de registre soutenu,brazen,shamelessly bold and unashamed,"effronté, éhonté"
Adjectifs de registre soutenu,breathtaking,astonishingly impressive or beautiful,"à couper le souffle, époustouflant"
Adjectifs de registre soutenu,brisk,quick and energetic,"vif, alerte"
Adjectifs de registre soutenu,brittle,hard but easily broken,"cassant, fragile"
Adjectifs de registre soutenu,broad-minded,tolerant of differing views,"large d'esprit, tolérant"
Adjectifs de registre soutenu,brooding,darkly preoccupied with worry,"sombre, méditatif"
Adjectifs de registre soutenu,bulky,large and awkward to handle,"volumineux, encombrant"
Adjectifs de registre soutenu,bumbling,acting in a clumsy incompetent way,"maladroit, empoté"
Adjectifs de registre soutenu,buoyant,"cheerful, or tending to recover quickly","flottant, optimiste"
Adjectifs de registre soutenu,burdensome,imposing heavy difficulty or cost,"pesant, contraignant"
Adjectifs de registre soutenu,bygone,belonging to an earlier time,"révolu, d'antan"
Adjectifs de registre soutenu,calamitous,causing serious disaster,"calamiteux, désastreux"
Adjectifs de registre soutenu,callous,cruelly indifferent to suffering,"insensible, dur"
Adjectifs de registre soutenu,candid,honest and straightforward in speech,"franc, sincère"
Adjectifs de registre soutenu,cantankerous,bad-tempered and argumentative,"acariâtre, revêche"
Adjectifs de registre soutenu,capacious,having plenty of room inside,"spacieux, vaste"
Adjectifs de registre soutenu,capricious,changing mood or plan unpredictably,"capricieux, fantasque"
Adjectifs de registre soutenu,captivating,charming and holding attention,captivant
Adjectifs de registre soutenu,cardinal,of primary importance,"cardinal, capital"
Adjectifs de registre soutenu,careworn,showing effects of prolonged worry,"usé par les soucis, las"
Adjectifs de registre soutenu,casual,relaxed and informal,"décontracté, désinvolte"
Adjectifs de registre soutenu,cataclysmic,causing sudden violent upheaval,cataclysmique
Adjectifs de registre soutenu,categorical,stated absolutely without qualification,catégorique
Adjectifs de registre soutenu,caustic,"bitingly sarcastic, or corrosive","caustique, mordant"
Adjectifs de registre soutenu,cautious,careful to avoid risk,"prudent, circonspect"
Adjectifs de registre soutenu,ceaseless,continuing without stopping,incessant
Adjectifs de registre soutenu,celebrated,widely known and admired,"célèbre, illustre"
Adjectifs de registre soutenu,censorious,severely critical of others,"critique, réprobateur"
Adjectifs de registre soutenu,cerebral,intellectual rather than emotional,"cérébral, intellectuel"
Adjectifs de registre soutenu,ceremonial,relating to formal ritual occasions,cérémoniel
Adjectifs de registre soutenu,chaotic,completely disordered and confused,chaotique
Adjectifs de registre soutenu,charitable,"generous, or kindly in judgment",charitable
Adjectifs de registre soutenu,chastened,subdued after criticism or setback,"assagi, penaud"
Adjectifs de registre soutenu,cherished,treasured and deeply valued,"chéri, précieux"
Adjectifs de registre soutenu,chilling,causing fear or dread,"glaçant, effrayant"
Adjectifs de registre soutenu,chivalrous,courteous and honourable toward others,"chevaleresque, galant"
Adjectifs de registre soutenu,churlish,rude and mean-spirited,"grossier, revêche"
Adjectifs de registre soutenu,circuitous,indirect and roundabout,"détourné, sinueux"
Adjectifs de registre soutenu,circumspect,"cautious, considering all consequences","circonspect, prudent"
Adjectifs de registre soutenu,civil,"politely formal, or relating to citizens","courtois, civil"
Adjectifs de registre soutenu,clairvoyant,able to foresee future events,clairvoyant
Adjectifs de registre soutenu,clamorous,loudly demanding attention,"bruyant, vociférant"
Adjectifs de registre soutenu,clandestine,"kept secret, often improperly",clandestin
Adjectifs de registre soutenu,clear-cut,sharply defined and unambiguous,"net, tranché"
Adjectifs de registre soutenu,clumsy,awkward and lacking coordination,"maladroit, gauche"
Adjectifs de registre soutenu,coarse,"rough in texture, or vulgar","grossier, rugueux"
Adjectifs de registre soutenu,coercive,using force or threats to compel,coercitif
Adjectifs de registre soutenu,cogent,"clear, logical and convincing","convaincant, probant"
Adjectifs de registre soutenu,coherent,logically consistent and understandable,cohérent
Adjectifs de registre soutenu,cohesive,"forming a united, well-integrated whole","cohésif, soudé"
Adjectifs de registre soutenu,colloquial,using informal everyday speech,"familier, courant"
Adjectifs de registre soutenu,colossal,extremely large in scale,colossal
Adjectifs de registre soutenu,combative,eager to fight or argue,combatif
Adjectifs de registre soutenu,comely,pleasing in appearance,"avenant, gracieux"
Adjectifs de registre soutenu,commendable,deserving praise and approval,"louable, méritoire"
Adjectifs de registre soutenu,commonplace,ordinary and frequently encountered,"banal, courant"
Adjectifs de registre soutenu,compassionate,sympathetic and wanting to help,compatissant
Adjectifs de registre soutenu,compelling,powerfully persuasive or gripping,"convaincant, fascinant"
Adjectifs de registre soutenu,competent,adequately skilled for the job,compétent
Adjectifs de registre soutenu,complacent,"smugly satisfied, ignoring dangers","suffisant, content de soi"
Adjectifs de registre soutenu,compliant,conforming to rules or requests,"conforme, docile"
Adjectifs de registre soutenu,composed,calm and self-controlled,"calme, posé"
Adjectifs de registre soutenu,comprehensive,"covering everything relevant, complete","exhaustif, complet"
Adjectifs de registre soutenu,compulsive,driven by irresistible urge,compulsif
Adjectifs de registre soutenu,compulsory,required by rule or law,obligatoire
Adjectifs de registre soutenu,conceited,excessively proud of oneself,"vaniteux, prétentieux"
Adjectifs de registre soutenu,conceivable,possible to imagine or believe,"concevable, envisageable"
Adjectifs de registre soutenu,concerted,done jointly with coordinated effort,concerté
Adjectifs de registre soutenu,conciliatory,intended to reduce hostility,conciliant
Adjectifs de registre soutenu,conclusive,settling a matter beyond doubt,"concluant, décisif"
Adjectifs de registre soutenu,concomitant,occurring together with something else,concomitant
Adjectifs de registre soutenu,condescending,treating others as inferiors,condescendant
Adjectifs de registre soutenu,conducive,helping to bring about a result,"propice, favorable"
Adjectifs de registre soutenu,confidential,intended to be kept private,confidentiel
Adjectifs de registre soutenu,confounding,"contradicting expectation, deeply puzzling","déconcertant, déroutant"
Adjectifs de registre soutenu,congenial,pleasantly agreeable and compatible,"sympathique, agréable"
Adjectifs de registre soutenu,congenital,"present from birth, deep-seated",congénital
Adjectifs de registre soutenu,congruent,matching or agreeing exactly,"congruent, concordant"
Adjectifs de registre soutenu,conjectural,based on guesswork rather than evidence,"conjectural, hypothétique"
Adjectifs de registre soutenu,conscientious,diligent and guided by duty,consciencieux
Adjectifs de registre soutenu,consequential,"important, or resulting from something","important, lourd de conséquences"
Adjectifs de registre soutenu,considerable,notably large in amount,considérable
Adjectifs de registre soutenu,consistent,unchanging and reliably uniform,"cohérent, constant"
Adjectifs de registre soutenu,conspicuous,"clearly visible, attracting notice","visible, ostensible"
Adjectifs de registre soutenu,contagious,spreading readily from person to person,contagieux
Adjectifs de registre soutenu,contemplative,given to deep reflective thought,"contemplatif, méditatif"
Adjectifs de registre soutenu,contemptible,deserving scorn and disdain,méprisable
Adjectifs de registre soutenu,contemptuous,showing scorn for others,"méprisant, dédaigneux"
Adjectifs de registre soutenu,contentious,likely to cause disagreement,"litigieux, querelleur"
Adjectifs de registre soutenu,contingent,dependent on something else happening,"contingent, conditionnel"
Adjectifs de registre soutenu,contrite,deeply sorry for wrongdoing,"contrit, repentant"
Adjectifs de registre soutenu,contrived,"artificially forced, lacking naturalness","artificiel, forcé"
Adjectifs de registre soutenu,controversial,provoking strong public disagreement,controversé
Adjectifs de registre soutenu,convivial,cheerfully sociable and festive,"convivial, jovial"
Adjectifs de registre soutenu,convoluted,extremely complicated and hard to follow,"alambiqué, tortueux"
Adjectifs de registre soutenu,copious,abundant in quantity,"copieux, abondant"
Adjectifs de registre soutenu,cordial,warm and friendly in manner,cordial
Adjectifs de registre soutenu,corpulent,fat and bulky in body,corpulent
Adjectifs de registre soutenu,corrupt,"dishonest, abusing power for gain",corrompu
Adjectifs de registre soutenu,cosmopolitan,"worldly, drawing from many cultures",cosmopolite
Adjectifs de registre soutenu,courteous,polite and considerate,courtois
Adjectifs de registre soutenu,covert,"hidden, not openly acknowledged","secret, dissimulé"
Adjectifs de registre soutenu,covetous,enviously desiring what others have,"avide, cupide"
Adjectifs de registre soutenu,cowardly,lacking courage in danger,"lâche, couard"
Adjectifs de registre soutenu,coy,pretending shyness to attract interest,"timide, évasif"
Adjectifs de registre soutenu,crafty,cleverly deceitful and scheming,"rusé, madré"
Adjectifs de registre soutenu,crass,insensitively coarse and stupid,"grossier, lourd"
Adjectifs de registre soutenu,craven,contemptibly lacking courage,"lâche, veule"
Adjectifs de registre soutenu,credible,believable and trustworthy,crédible
Adjectifs de registre soutenu,credulous,too ready to believe things,crédule
Adjectifs de registre soutenu,critical,"crucially important, or fault-finding","critique, crucial"
Adjectifs de registre soutenu,crucial,decisive for the eventual outcome,crucial
Adjectifs de registre soutenu,crude,rough and unrefined,"grossier, brut"
Adjectifs de registre soutenu,cryptic,mysterious and obscure in meaning,"énigmatique, sibyllin"
Adjectifs de registre soutenu,culpable,deserving blame for wrongdoing,"coupable, fautif"
Adjectifs de registre soutenu,cumbersome,unwieldy and inefficient to use,"encombrant, lourd"
Adjectifs de registre soutenu,cunning,skilfully deceitful and clever,"rusé, astucieux"
Adjectifs de registre soutenu,cursory,hasty and superficial,"superficiel, hâtif"
Adjectifs de registre soutenu,curt,rudely brief in speech,"sec, brusque"
Adjectifs de registre soutenu,customary,usual according to established practice,"habituel, coutumier"
Adjectifs de registre soutenu,cynical,distrusting others' sincerity or motives,cynique
Adjectifs de registre soutenu,dainty,delicately small and pretty,"délicat, mignon"
Adjectifs de registre soutenu,damning,providing strong proof of guilt,accablant
Adjectifs de registre soutenu,dapper,neat and stylish in dress,"pimpant, soigné"
Adjectifs de registre soutenu,daring,"boldly adventurous, risk-taking","audacieux, téméraire"
Adjectifs de registre soutenu,dauntless,fearless and not discouraged,intrépide
Adjectifs de registre soutenu,dazzling,brilliantly impressive and striking,éblouissant
Adjectifs de registre soutenu,deafening,"extremely loud, painful to hear",assourdissant
Adjectifs de registre soutenu,debatable,open to question or dispute,"discutable, contestable"
Adjectifs de registre soutenu,debilitating,seriously weakening strength or ability,"débilitant, invalidant"
Adjectifs de registre soutenu,decadent,morally declining through self-indulgence,décadent
Adjectifs de registre soutenu,deceitful,dishonest and misleading,"fourbe, trompeur"
Adjectifs de registre soutenu,deceptive,giving a misleading impression,trompeur
Adjectifs de registre soutenu,decisive,settling matters firmly and quickly,"décisif, résolu"
Adjectifs de registre soutenu,decrepit,worn out through age or neglect,"décrépit, délabré"
Adjectifs de registre soutenu,deferential,respectfully yielding to others,"déférent, respectueux"
Adjectifs de registre soutenu,defiant,openly resisting authority,"provocateur, rebelle"
Adjectifs de registre soutenu,deficient,lacking something necessary,"déficient, insuffisant"
Adjectifs de registre soutenu,definitive,final and authoritative,"définitif, décisif"
Adjectifs de registre soutenu,deft,neatly skilful and quick,"adroit, habile"
Adjectifs de registre soutenu,defunct,no longer existing or operating,"défunt, disparu"
Adjectifs de registre soutenu,dejected,sad and low in spirits,"abattu, découragé"
Adjectifs de registre soutenu,delicate,"fragile, or requiring careful handling",délicat
Adjectifs de registre soutenu,delirious,"wildly excited, or mentally disturbed",délirant
Adjectifs de registre soutenu,demanding,requiring much effort or attention,exigeant
Adjectifs de registre soutenu,demeaning,lowering someone's dignity,"dégradant, avilissant"
Adjectifs de registre soutenu,demonstrable,able to be proven clearly,démontrable
Adjectifs de registre soutenu,demure,modest and reserved in manner,"réservé, sage"
Adjectifs de registre soutenu,deplorable,"shockingly bad, deserving condemnation",déplorable
Adjectifs de registre soutenu,deranged,mentally unbalanced and irrational,"dérangé, dément"
Adjectifs de registre soutenu,derelict,abandoned and in ruins,"abandonné, délabré"
Adjectifs de registre soutenu,derisive,expressing mockery and contempt,"moqueur, railleur"
Adjectifs de registre soutenu,desolate,bleakly empty and abandoned,"désolé, morne"
Adjectifs de registre soutenu,despicable,deserving utter contempt,"méprisable, ignoble"
Adjectifs de registre soutenu,despondent,dejected and without hope,"abattu, découragé"
Adjectifs de registre soutenu,despotic,ruling with absolute oppressive power,despotique
Adjectifs de registre soutenu,destitute,"extremely poor, lacking necessities","démuni, indigent"
Adjectifs de registre soutenu,desultory,"aimless, lacking consistent method","décousu, sans méthode"
Adjectifs de registre soutenu,detached,emotionally uninvolved and objective,"détaché, indifférent"
Adjectifs de registre soutenu,detrimental,causing harm or damage,"préjudiciable, nuisible"
Adjectifs de registre soutenu,devastating,causing severe shock or destruction,"dévastateur, accablant"
Adjectifs de registre soutenu,devious,underhanded and cunningly indirect,"sournois, retors"
Adjectifs de registre soutenu,devoid,entirely lacking something,"dépourvu, dénué"
Adjectifs de registre soutenu,devout,deeply religious or sincerely committed,"dévot, fervent"
Adjectifs de registre soutenu,dexterous,skilful with hands or mind,"adroit, habile"
Adjectifs de registre soutenu,diabolical,"extremely wicked, or dreadfully bad",diabolique
Adjectifs de registre soutenu,diaphanous,"light, delicate and translucent",diaphane
Adjectifs de registre soutenu,didactic,"intended to teach, often moralizing",didactique
Adjectifs de registre soutenu,diffident,shy and lacking self-confidence,"timide, réservé"
Adjectifs de registre soutenu,dignified,composed and worthy of respect,"digne, plein de dignité"
Adjectifs de registre soutenu,dilapidated,falling apart from neglect,"délabré, décrépit"
Adjectifs de registre soutenu,diligent,careful and persistent in work,"assidu, appliqué"
Adjectifs de registre soutenu,diminutive,extremely small in size,"minuscule, menu"
Adjectifs de registre soutenu,dire,extremely serious or urgent,"terrible, désastreux"
Adjectifs de registre soutenu,disaffected,dissatisfied and no longer loyal,"mécontent, désabusé"
Adjectifs de registre soutenu,disagreeable,"unpleasant, or bad-tempered",désagréable
Adjectifs de registre soutenu,discernible,able to be perceived,"perceptible, discernable"
Adjectifs de registre soutenu,disconcerting,unsettling and confusing,déconcertant
Adjectifs de registre soutenu,discordant,"clashing, not in harmony",discordant
Adjectifs de registre soutenu,discreet,careful to avoid attention or disclosure,discret
Adjectifs de registre soutenu,discrete,separate and individually distinct,"distinct, séparé"
Adjectifs de registre soutenu,discursive,rambling widely from the subject,"discursif, décousu"
Adjectifs de registre soutenu,disdainful,showing contempt for supposed inferiors,dédaigneux
Adjectifs de registre soutenu,disgruntled,angrily dissatisfied and resentful,"mécontent, contrarié"
